n_points,index,label,isolation,mean_cri,mean_lat_ns,sprt_verdict
1000,rtree,R-tree,2.0754,0.500711,81876,REJECT_H0
1000,lchi,LCHI (VLUI),1.4072,0.369722,38426,REJECT_H0
1000,buffered,BufferedRTree,2.3163,0.599228,293792,REJECT_H0
1000,grid,GridBTree,5.8983,1.123433,6817770,REJECT_H0
1000,lsm,LSMSpatial,5.6874,1.095957,6908577,REJECT_H0
5000,rtree,R-tree,0.421195,0.09351661,46450.4,REJECT_H0
5000,lchi,LCHI (VLUI ✓),0.423499,0.12142044,101327.0,REJECT_H0
5000,buffered,BufferedRTree,4.073037,0.7834851,311583.1,REJECT_H0
5000,grid,GridBTree,0.585569,0.12973003,1482605.7,REJECT_H0
5000,lsm,LSMSpatial,0.615785,0.13588786,2150637.7,REJECT_H0
5000,learned,LearnedGrid,1.901474,0.21690325,86913.7,REJECT_H0
10000,rtree,R-tree,0.240117,0.08210329,65402.7,REJECT_H0
10000,lchi,LCHI (VLUI ✓),4.20633,0.47464938,245082.2,REJECT_H0
10000,buffered,BufferedRTree,3.795225,0.8743685,423849.0,REJECT_H0
10000,grid,GridBTree,0.901377,0.19287032,4057625.0,REJECT_H0
10000,lsm,LSMSpatial,0.79011,0.15891088,5845346.7,REJECT_H0
10000,learned,LearnedGrid,0.181883,0.06162465,217851.2,REJECT_H0
20000,rtree,R-tree,0.620149,0.18769908,120910.7,REJECT_H0
20000,lchi,LCHI (VLUI ✓),0.860657,0.16103367,692492.3,REJECT_H0
20000,buffered,BufferedRTree,2.11123,0.36453933,641583.2,REJECT_H0
20000,grid,GridBTree,0.418019,0.11480601,16628894.4,REJECT_H0
20000,lsm,LSMSpatial,0.211625,0.08796854,25215150.9,REJECT_H0
20000,learned,LearnedGrid,0.273181,0.07630641,691083.1,REJECT_H0
100000,rtree,R-tree,2.062454,0.23701941,146551.9,REJECT_H0
100000,lchi,LCHI (VLUI ✓),0.311446,0.05304442,3416627.4,REJECT_H0
100000,buffered,BufferedRTree,2.08075,0.54240911,689680.4,REJECT_H0
100000,grid,GridBTree,0.167686,0.04052609,64156030.4,REJECT_H0
100000,lsm,LSMSpatial,0.273139,0.05741639,91806243.1,REJECT_H0
100000,learned,LearnedGrid,0.309052,0.06754225,3412492.7,REJECT_H0
